SYSTEM_CODE,ENVIRONMENT,ACCOUNT_TYPE,CIF_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,PRODUCT,BRANCH,DATE OPEN,CURRENT INT RATE,INTEREST TERM,ACC STATUS,DATE OF STATUS,ACCOUNT CURRENCY,NPL TAG,SEGMENT,Current Balance,Previous day balance,Privious Month end balance
PAWNING,FCBU,LOAN,35090,1000000,Customer_35090,FDFIXED,43,"Friday, September 21, 2018",0.1783,365,Dormant,10/21/2018,LKR,N,SME,440847.58,437161.56,468833.14
CORE,DBU,FD,47987,1000001,Customer_47987,CURRPRO,17,"Wednesday, January 27, 2021",0.1112,180,Dormant,2/26/2021,USD,N,SME,758916.88,761464.62,659139.89
LEASE,FCBU,LOAN,67957,1000002,Customer_67957,FDFIXED,40,"Friday, August 30, 2024",0.177,180,Dormant,9/29/2024,USD,N,CORPORATE,1958574.87,1990703.48,2195649.3
CORE,DBU,CURRENT,60671,1000003,Customer_60671,CURRPRO,7,"Friday, July 12, 2019",0.0328,90,Active,8/11/2019,LKR,N,CORPORATE,165934.62,166908.04,178503.28
CORE,DBU,LOAN,12720,1000004,Customer_12720,LOANGEN,48,"Wednesday, October 14, 2020",0.1205,180,Active,11/13/2020,USD,N,RETAIL,5745.72,5637.84,6529.82
LEASE,DBU,CURRENT,13132,1000005,Customer_13132,FDFIXED,16,"Monday, January 31, 2022",0.033,90,Dormant,3/2/2022,USD,N,RETAIL,1292304.32,1288219.99,1313953.99
LEASE,FCBU,LOAN,84986,1000006,Customer_84986,CURRPRO,46,"Sunday, January 19, 2025",0.2195,180,Dormant,2/18/2025,LKR,N,SME,1146714.62,1154374.84,1065274.18
PAWNING,FCBU,CURRENT,17092,1000007,Customer_17092,LOANGEN,38,"Saturday, June 19, 2021",0.0151,365,Dormant,7/19/2021,LKR,N,CORPORATE,1986591.62,2018445.11,1949334.69
CORE,DBU,SAVINGS,41432,1000008,Customer_41432,LOANGEN,3,"Tuesday, July 13, 2021",0.0152,180,Active,8/12/2021,USD,N,CORPORATE,1461735.06,1440131.5,1492790.04
LEASE,DBU,FD,74375,1000009,Customer_74375,LOANGEN,36,"Thursday, December 31, 2020",0.1129,90,Dormant,1/30/2021,USD,N,SME,1655006.42,1668328.49,1475711.99
LEASE,DBU,CURRENT,12581,1000010,Customer_12581,SAREGPEF,31,"Monday, August 12, 2024",0.0321,30,Active,9/11/2024,USD,N,RETAIL,1466311.53,1463387.3,1518754.92
PAWNING,DBU,LOAN,94042,1000011,Customer_94042,CURRPRO,22,"Sunday, November 06, 2022",0.1554,30,Active,12/6/2022,USD,N,SME,1317748.63,1308357.62,1279991.5
LEASE,FCBU,CURRENT,76462,1000012,Customer_76462,LOANGEN,40,"Thursday, May 02, 2019",0.036,30,Dormant,6/1/2019,LKR,N,CORPORATE,1485002.07,1508839.15,1691599.29
PAWNING,DBU,SAVINGS,72095,1000013,Customer_72095,LOANGEN,42,"Wednesday, November 24, 2021",0.033,90,Dormant,12/24/2021,USD,N,SME,734349.99,727348.08,732230.41
CORE,DBU,FD,82706,1000014,Customer_82706,CURRPRO,29,"Monday, March 13, 2017",0.0974,180,Dormant,4/12/2017,LKR,N,RETAIL,550713.93,541789.93,545205.92
